"","id","sd","ip"
"1088",218,20,87.5
"1089",218,50,17.5
"1090",218,100,-17.5
"1091",219,1,82.5
"1092",219,5,82.5
"1093",219,20,32.5
"1094",219,50,37.5
"1095",219,100,-17.5
"1096",220,1,67.5
"1097",220,5,27.5
"1098",220,20,2.5
"1099",220,50,2.5
"1100",220,100,2.5
"1101",221,1,87.5
"1102",221,5,87.5
"1103",221,20,12.5
"1104",221,50,17.5
"1105",221,100,22.5
"1106",222,1,72.5
"1107",222,5,67.5
"1108",222,20,12.5
"1109",222,50,2.5
"1110",222,100,17.5
"1111",223,1,67.5
"1112",223,5,82.5
"1113",223,20,27.5
"1114",223,50,12.5
"1115",223,100,2.5
"1116",224,1,82.5
"1117",224,5,72.5
"1118",224,20,72.5
"1119",224,50,72.5
"1120",224,100,72.5
"1121",225,1,67.5
"1122",225,5,67.5
"1123",225,20,62.5
"1124",225,50,7.5
"1125",225,100,22.5
"1126",226,1,67.5
"1127",226,5,17.5
"1128",226,20,2.5
"1129",226,50,2.5
"1130",226,100,2.5
"1131",227,1,87.5
"1132",227,5,87.5
"1133",227,20,77.5
"1134",227,50,47.5
"1135",227,100,12.5
"1136",228,1,67.5
"1137",228,5,62.5
"1138",228,20,42.5
"1139",228,50,22.5
"1140",228,100,22.5
"1141",229,1,82.5
"1142",229,5,82.5
"1143",229,20,2.5
"1144",229,50,7.5
"1145",229,100,17.5
"1146",230,1,67.5
"1147",230,5,12.5
"1148",230,20,27.5
"1149",230,50,2.5
"1150",230,100,-17.5
"1151",231,1,7.5
"1152",231,5,37.5
"1153",231,20,2.5
"1154",231,50,-17.5
"1155",231,100,-17.5
"1156",232,1,72.5
"1157",232,5,72.5
"1158",232,20,22.5
"1159",232,50,2.5
"1160",232,100,2.5
"1161",233,1,87.5
"1162",233,5,87.5
"1163",233,20,17.5
"1164",233,50,-17.5
"1165",233,100,-17.5
"1166",234,1,87.5
"1167",234,5,87.5
"1168",234,20,62.5
"1169",234,50,62.5
"1170",234,100,37.5
"1171",235,1,72.5
"1172",235,5,87.5
"1173",235,20,42.5
"1174",235,50,47.5
"1175",235,100,37.5
"1176",236,1,87.5
"1177",236,5,72.5
"1178",236,20,82.5
"1179",236,50,-17.5
"1180",236,100,-17.5
"1181",237,1,67.5
"1182",237,5,67.5
"1183",237,20,67.5
"1184",237,50,67.5
"1185",237,100,7.5
"1186",238,1,87.5
"1187",238,5,87.5
"1188",238,20,12.5
"1189",238,50,-17.5
"1190",238,100,-17.5
"1191",239,1,52.5
"1192",239,5,82.5
"1193",239,20,42.5
"1194",239,50,7.5
"1195",239,100,7.5
"1196",240,1,67.5
"1197",240,5,87.5
"1198",240,20,87.5
"1199",240,50,22.5
"1200",240,100,22.5
"1201",241,1,87.5
"1202",241,5,87.5
"1203",241,20,87.5
"1204",241,50,87.5
"1205",241,100,-17.5
"1206",242,1,87.5
"1207",242,5,87.5
"1208",242,20,47.5
"1209",242,50,37.5
"1210",242,100,22.5
"1211",243,1,67.5
"1212",243,5,67.5
"1213",243,20,12.5
"1214",243,50,-17.5
"1215",243,100,-17.5
"1216",244,1,77.5
"1217",244,5,77.5
"1218",244,20,-17.5
"1219",244,50,-17.5
"1220",244,100,-17.5
"1221",245,1,72.5
"1222",245,5,52.5
"1223",245,20,62.5
"1224",245,50,77.5
"1225",245,100,17.5
"1226",246,1,82.5
"1227",246,5,82.5
"1228",246,20,77.5
"1229",246,50,-7.5
"1230",246,100,-17.5
"1231",247,1,67.5
